epoch,total_loss,recon_loss,kl_loss
1,0.8912633750952926,0.841978531257779,0.04928483532849521
2,0.388977004032509,0.3524839115493438,0.03649309204489577
3,0.36398720682836044,0.33628075993528556,0.027706446418283032
4,0.3524615694494808,0.32834791874184327,0.024113652752894982
5,0.347967742412698,0.3238738491839054,0.024093894543601016
6,0.34856662154197693,0.32400095229055365,0.024565671077545953
7,0.3429700600750306,0.31804993894754674,0.024920121821410516
8,0.3390330906007804,0.3143052677897846,0.02472782343187753
9,0.33324558477775723,0.3093420962492625,0.023903488126747748
10,0.33152930058685004,0.30764362654265237,0.023885672638083204
11,0.32946861374611947,0.3049495974007775,0.0245190149209663
12,0.3283393044097751,0.304003424504224,0.02433587581503625
13,0.3285847203988655,0.30363013113246246,0.02495458937597041
14,0.32681097177898183,0.3011125191753986,0.025698453260987412
15,0.32539653719640244,0.2999391199326983,0.02545741795763081
16,0.3236588578598172,0.29854892252707016,0.025109935953628783
17,0.32301489249163984,0.29714641647011625,0.025868476861540007
18,0.323406331095041,0.29701728505246777,0.02638904585996095
19,0.3230336571440977,0.2967399072413351,0.026293749318403357
20,0.31870540538254905,0.2918878402195725,0.02681756793868308
21,0.3155868418660818,0.28812671087536157,0.02746013285336541
22,0.31099477760932026,0.2820288866173987,0.02896589157628078
23,0.3079756153564827,0.27872207059579734,0.029253544833730247
24,0.3065789137400833,0.2768080330946866,0.0297708805358293
25,0.30519608452039604,0.27428895498023315,0.03090713085497127
26,0.3014523746336208,0.26932301737514197,0.03212935802545033
27,0.29840242307560116,0.26548222233267393,0.03292020004900063
28,0.2984781361678067,0.2652821228200314,0.033196013384297784
29,0.2946789770149717,0.26082374360047134,0.03385523341450037
30,0.2926870514364803,0.25719459939236733,0.035492454819819504
31,0.2908269400690116,0.2552521386567284,0.03557480126619339
32,0.28859707333293616,0.2534443408835168,0.03515273069634157
33,0.2867705886270486,0.2506459968931535,0.03612459209911963
34,0.28596627916775497,0.2501443054746179,0.03582197493490051
35,0.2848500074709163,0.24899294738676034,0.03585705993806615
36,0.28327565274986566,0.24664126336574554,0.03663439051631619
37,0.28293689471833844,0.24591288817863838,0.0370240048596672
38,0.2826066221676621,0.2447724862425935,0.03783413515809704
39,0.2811234026562934,0.24326255216318018,0.037860853341864606
40,0.28141437763092564,0.24351368756855235,0.03790068969714875
41,0.27828775258625255,0.2407859061278549,0.037501846239262934
42,0.2776869389356351,0.23991308259029015,0.03777385605316536
43,0.27461985513275744,0.23682462935354195,0.03779522709402384
44,0.27428905432130773,0.2351230432589849,0.03916600989360435
45,0.27371978876637476,0.23421035005765803,0.039509439220031105
46,0.27373801376305373,0.2330718727088442,0.040666140542895184
47,0.27304281119038076,0.23286543698871837,0.04017737595474019
48,0.272718858777308,0.23149538829046137,0.04122346942769546
49,0.2679518598551844,0.22802142828118568,0.03993043153747624
50,0.2697867029437832,0.2283289996432323,0.041457703410118237
